SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Материал наружных стен дома"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Материал наружных стен дома";
"Чкаловский район";"Лицо";"Не указано";642
"Чкаловский район";"Лицо";"Кирпич, камень";10624
"Чкаловский район";"Лицо";"Панель";2625
"Чкаловский район";"Лицо";"Блок";80
"Чкаловский район";"Лицо";"Дерево";10628
"Чкаловский район";"Лицо";"Смешанный материал";720
"Чкаловский район";"Лицо";"Другой материал";29
"Шарангский район";"Лицо";"Не указано";91
"Шарангский район";"Лицо";"Кирпич, камень";2395
"Шарангский район";"Лицо";"Панель";237
"Шарангский район";"Лицо";"Блок";587
"Шарангский район";"Лицо";"Дерево";10217
"Шарангский район";"Лицо";"Смешанный материал";128
"Шарангский район";"Лицо";"Другой материал";38
"Шатковский район";"Лицо";"Не указано";575
"Шатковский район";"Лицо";"Кирпич, камень";10563
"Шатковский район";"Лицо";"Панель";6010
"Шатковский район";"Лицо";"Блок";1164
"Шатковский район";"Лицо";"Дерево";8264
"Шатковский район";"Лицо";"Смешанный материал";1313
"Шатковский район";"Лицо";"Другой материал";229
"Шахунский район";"Лицо";"Не указано";932
"Шахунский район";"Лицо";"Кирпич, камень";17486
"Шахунский район";"Лицо";"Панель";3146
"Шахунский район";"Лицо";"Блок";788
"Шахунский район";"Лицо";"Дерево";18563
"Шахунский район";"Лицо";"Смешанный материал";2665
"Шахунский район";"Лицо";"Другой материал";586
"Сокольский район";"Лицо";"Не указано";511
"Сокольский район";"Лицо";"Кирпич, камень";4359
"Сокольский район";"Лицо";"Панель";197
"Сокольский район";"Лицо";"Блок";148
"Сокольский район";"Лицо";"Дерево";9906
"Сокольский район";"Лицо";"Смешанный материал";524
"Сокольский район";"Лицо";"Другой материал";415
"Города областного подчинения Нижегородской области";"Лицо";"Не указано";0
"Города областного подчинения Нижегородской области";"Лицо";"Кирпич, камень";0
"Города областного подчинения Нижегородской области";"Лицо";"Панель";0
"Города областного подчинения Нижегородской области";"Лицо";"Блок";0
"Города областного подчинения Нижегородской области";"Лицо";"Дерево";0
"Города областного подчинения Нижегородской области";"Лицо";"Смешанный материал";0
"Города областного подчинения Нижегородской области";"Лицо";"Другой материал";0
"г. Нижний Новгород";"Лицо";"Не указано";59284
"г. Нижний Новгород";"Лицо";"Кирпич, камень";502001
"г. Нижний Новгород";"Лицо";"Панель";624963
"г. Нижний Новгород";"Лицо";"Блок";34081
"г. Нижний Новгород";"Лицо";"Дерево";55549
"г. Нижний Новгород";"Лицо";"Смешанный материал";25087
"г. Нижний Новгород";"Лицо";"Другой материал";6008
"г. Арзамас";"Лицо";"Не указано";10301
"г. Арзамас";"Лицо";"Кирпич, камень";58184
"г. Арзамас";"Лицо";"Панель";21509
"г. Арзамас";"Лицо";"Блок";2955
"г. Арзамас";"Лицо";"Дерево";9613
"г. Арзамас";"Лицо";"Смешанный материал";4061
"г. Арзамас";"Лицо";"Другой материал";1702
